exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
therocktrading,The Rock Trading,69,,,0,,https://www.therocktrading.com,1676660097265
thorchain,THORChain,70,,,0,,https://thorchain.org/,1668435396236
uniswap,Uniswap (V2),71,,,0,,https://www.uniswap.io/,1719351138262
uniswap-v3,Uniswap (V3),72,,,0,,https://uniswap.org/,1719351243732
bitpanda-pro,Bitpanda Pro,51,,,0,,https://www.bitpanda.com/en/pro,1704192020599
zaif,Zaif,73,,,0,,https://zaif.jp/,1666250109990
zb,ZB,48,,,0,,https://www.zb.com/,1662264169320
bitbay,BitBay,49,,,0,,https://bitbay.net,0
bithumbglobal,Bithumb Global,50,,,0,,https://www.bithumb.pro/,1692326335935
bitrue,Bitrue,52,,,0,,https://www.bitrue.com/,1720323770537
qryptos,Liquid,66,,,120,False,https://www.qryptos.com/,1720323769247
bittrex,Bittrex,53,,,0,,https://bittrex.com/,0
bkex,Bkex,54,,,0,,https://www.bkex.com/,0
blockchain-com,Blockchain.com,55,,,0,,https://blockchain.com/,0
coinbene,Coinbene,56,,,0,,https://www.coinbene.com,0
cointiger,CoinTiger,57,,,0,,https://www.cointiger.com/,1707114784242
